ReactionID	ReactionType	CatalystCoreDetail	CatalystCoreGeneric	Ligand	ReagentRaw	ReagentRole	Base	Solvent	Temperature_C	Time_h	Yield_%	ReactantSMILES	ProductSMILES	Reference	CondKey	CondSig	FamSig	RawCAS	RCTName	PROName	RGTName	CATName	SOLName	BASName
31-614-CAS-24036151	Buchwald	"[""Bis(dibenzylideneacetone)palladium""]"	"[""Pd""]"	"[""Tri-tert-butylphosphonium tetrafluoroborate""]"	"[""13400-13-0"", ""865-48-5"", ""7772-98-7"", ""Cesium fluoride"", ""Sodium tert-butoxide"", ""Sodium thiosulfate""]"	"[""BASE""]"	"[""Sodium tert-butoxide""]"	"[""123-91-1"", ""75-09-2"", ""7732-18-5"", ""1"", ""4-Dioxane"", ""Dichloromethane"", ""Water""]"	120.0	36.0	54	Brc1ccc2c(c1)Sc1ccccc1N2 . COc1ccc(B(O)O)cc1 . N#Cc1ccc(Br)cc1	COc1ccc(-c2ccc3c(c2)Sc2ccccc2N3c2ccc(C#N)cc2)cc1	Journal of the American Chemical Society (2024), 146(48), 33035-33047. | Raguram, Elaine Reichert; et al | Journal of the American Chemical Society (2024), 146(48), 33035-33047.	Pd/Tri-tert-butylphosphonium tetrafluoroborate/13400-13-0+7772-98-7+865-48-5+Cesium fluoride+Sodium tert-butoxide+Sodium thiosulfate/1+123-91-1+4-Dioxane+75-09-2+7732-18-5+Dichloromethane+Water			RCT: 18940-21-1 + 2639638-52-9 | PRO: 3028304-39-1 | RGT: 13400-13-0 + 865-48-5 + 7772-98-7 | CAT: 32005-36-0 + 131274-22-1 | SOL: 123-91-1 + 75-09-2 + 7732-18-5	"[""18940-21-1"", ""2639638-52-9""]"	"[""3028304-39-1""]"	"[""13400-13-0"", ""865-48-5"", ""7772-98-7""]"	"[""32005-36-0"", ""131274-22-1""]"	"[""123-91-1"", ""75-09-2"", ""7732-18-5""]"	"[""Sodium tert-butoxide""]"
31-614-CAS-24036152	Buchwald	"[""Bis(dibenzylideneacetone)palladium""]"	"[""Pd""]"	"[""Tri-tert-butylphosphonium tetrafluoroborate""]"	"[""13400-13-0"", ""865-48-5"", ""7772-98-7"", ""Cesium fluoride"", ""Sodium tert-butoxide"", ""Sodium thiosulfate""]"	"[""BASE""]"	"[""Sodium tert-butoxide""]"	"[""123-91-1"", ""75-09-2"", ""7732-18-5"", ""1"", ""4-Dioxane"", ""Dichloromethane"", ""Water""]"	120.0	36.0	78	Brc1ccc2c(c1)Sc1ccccc1N2 . OB(O)c1ccc(C(F)(F)F)cc1 . Brc1ccc(-c2nc(-c3ccccc3)nc(-c3ccccc3)n2)cc1	FC(F)(F)c1ccc(-c2ccc3c(c2)Sc2ccccc2N3c2ccc(-c3nc(-c4ccccc4)nc(-c4ccccc4)n3)cc2)cc1	Organic Letters (2022), 24(20), 3736-3740. | Scattolin, Thomas; et al | Organic Letters (2022), 24(20), 3736-3740.	Pd/Tri-tert-butylphosphonium tetrafluoroborate/13400-13-0+7772-98-7+865-48-5+Cesium fluoride+Sodium tert-butoxide+Sodium thiosulfate/1+123-91-1+4-Dioxane+75-09-2+7732-18-5+Dichloromethane+Water			RCT: 2604236-80-6 | PRO: 2604237-09-2 | RGT: 13400-13-0 + 865-48-5 + 7772-98-7 | CAT: 32005-36-0 + 131274-22-1 | SOL: 123-91-1 + 75-09-2 + 7732-18-5	"[""2604236-80-6""]"	"[""2604237-09-2""]"	"[""13400-13-0"", ""865-48-5"", ""7772-98-7""]"	"[""32005-36-0"", ""131274-22-1""]"	"[""123-91-1"", ""75-09-2"", ""7732-18-5""]"	"[""Sodium tert-butoxide""]"
31-614-CAS-24036155	Buchwald	"[""Bis(dibenzylideneacetone)palladium""]"	"[""Pd""]"	"[""Tri-tert-butylphosphonium tetrafluoroborate""]"	"[""13400-13-0"", ""865-48-5"", ""7772-98-7"", ""Cesium fluoride"", ""Sodium tert-butoxide"", ""Sodium thiosulfate""]"	"[""BASE""]"	"[""Sodium tert-butoxide""]"	"[""123-91-1"", ""75-09-2"", ""7732-18-5"", ""1"", ""4-Dioxane"", ""Dichloromethane"", ""Water""]"	120.0	36.0	76	Brc1ccc2c(c1)Sc1ccccc1N2 . COc1ccc(B(O)O)cc1 . COc1ccc(Br)cc1	COc1ccc(-c2ccc3c(c2)Sc2ccccc2N3c2ccc(OC)cc2)cc1	Organic Letters (2022), 24(20), 3736-3740. | Scattolin, Thomas; et al | Organic Letters (2022), 24(20), 3736-3740.	Pd/Tri-tert-butylphosphonium tetrafluoroborate/13400-13-0+7772-98-7+865-48-5+Cesium fluoride+Sodium tert-butoxide+Sodium thiosulfate/1+123-91-1+4-Dioxane+75-09-2+7732-18-5+Dichloromethane+Water			RCT: 110-89-4 + 52488-36-5 | PRO: 17274-62-3 | RGT: 13400-13-0 + 865-48-5 + 7772-98-7 | CAT: 32005-36-0 + 131274-22-1 | SOL: 123-91-1 + 75-09-2 + 7732-18-5	"[""110-89-4"", ""52488-36-5""]"	"[""17274-62-3""]"	"[""13400-13-0"", ""865-48-5"", ""7772-98-7""]"	"[""32005-36-0"", ""131274-22-1""]"	"[""123-91-1"", ""75-09-2"", ""7732-18-5""]"	"[""Sodium tert-butoxide""]"
31-614-CAS-24036156	Buchwald	"[""Bis(dibenzylideneacetone)palladium""]"	"[""Pd""]"	"[""Tri-tert-butylphosphonium tetrafluoroborate""]"	"[""13400-13-0"", ""865-48-5"", ""7772-98-7"", ""Cesium fluoride"", ""Sodium tert-butoxide"", ""Sodium thiosulfate""]"	"[""BASE""]"	"[""Sodium tert-butoxide""]"	"[""123-91-1"", ""75-09-2"", ""7732-18-5"", ""1"", ""4-Dioxane"", ""Dichloromethane"", ""Water""]"	120.0	36.0	65	Brc1ccc2c(c1)Sc1ccccc1N2 . OB(O)c1ccc(C(F)(F)F)cc1 . Brc1ccccc1	FC(F)(F)c1ccc(-c2ccc3c(c2)Sc2ccccc2N3c2ccccc2)cc1	Organic Letters (2022), 24(20), 3736-3740. | Scattolin, Thomas; et al | Organic Letters (2022), 24(20), 3736-3740.	Pd/Tri-tert-butylphosphonium tetrafluoroborate/13400-13-0+7772-98-7+865-48-5+Cesium fluoride+Sodium tert-butoxide+Sodium thiosulfate/1+123-91-1+4-Dioxane+75-09-2+7732-18-5+Dichloromethane+Water			RCT: 124-40-3 + 1018814-40-8 | PRO: 1637232-07-5 | RGT: 13400-13-0 + 865-48-5 + 7772-98-7 | CAT: 32005-36-0 + 131274-22-1 | SOL: 123-91-1 + 75-09-2 + 7732-18-5	"[""124-40-3"", ""1018814-40-8""]"	"[""1637232-07-5""]"	"[""13400-13-0"", ""865-48-5"", ""7772-98-7""]"	"[""32005-36-0"", ""131274-22-1""]"	"[""123-91-1"", ""75-09-2"", ""7732-18-5""]"	"[""Sodium tert-butoxide""]"
31-614-CAS-24036157	Buchwald	"[""Bis(dibenzylideneacetone)palladium""]"	"[""Pd""]"	"[""Tri-tert-butylphosphonium tetrafluoroborate""]"	"[""13400-13-0"", ""865-48-5"", ""7772-98-7"", ""Cesium fluoride"", ""Sodium tert-butoxide"", ""Sodium thiosulfate""]"	"[""BASE""]"	"[""Sodium tert-butoxide""]"	"[""123-91-1"", ""75-09-2"", ""7732-18-5"", ""1"", ""4-Dioxane"", ""Dichloromethane"", ""Water""]"	120.0	36.0	87	OB(O)c1ccccc1 . Brc1ccc2c(c1)Sc1ccccc1N2 . Brc1ccc(-c2nc(-c3ccccc3)nc(-c3ccccc3)n2)cc1	c1ccc(-c2ccc3c(c2)Sc2ccccc2N3c2ccc(-c3nc(-c4ccccc4)nc(-c4ccccc4)n3)cc2)cc1	Angewandte Chemie, International Edition (2021), 60(5), 2455-2463. | Liu, Xinrui; et al | Angewandte Chemie, International Edition (2021), 60(5), 2455-2463.	Pd/Tri-tert-butylphosphonium tetrafluoroborate/13400-13-0+7772-98-7+865-48-5+Cesium fluoride+Sodium tert-butoxide+Sodium thiosulfate/1+123-91-1+4-Dioxane+75-09-2+7732-18-5+Dichloromethane+Water			RCT: 108-86-1 + 135-67-1 | PRO: 37832-25-0 | RGT: 13400-13-0 + 865-48-5 + 7772-98-7 | CAT: 32005-36-0 + 131274-22-1 | SOL: 123-91-1 + 75-09-2 + 7732-18-5	"[""108-86-1"", ""135-67-1""]"	"[""37832-25-0""]"	"[""13400-13-0"", ""865-48-5"", ""7772-98-7""]"	"[""32005-36-0"", ""131274-22-1""]"	"[""123-91-1"", ""75-09-2"", ""7732-18-5""]"	"[""Sodium tert-butoxide""]"
31-614-CAS-24036159	Buchwald	"[""Bis(dibenzylideneacetone)palladium""]"	"[""Pd""]"	"[""Tri-tert-butylphosphonium tetrafluoroborate""]"	"[""13400-13-0"", ""865-48-5"", ""7772-98-7"", ""Cesium fluoride"", ""Sodium tert-butoxide"", ""Sodium thiosulfate""]"	"[""BASE""]"	"[""Sodium tert-butoxide""]"	"[""123-91-1"", ""75-09-2"", ""7732-18-5"", ""1"", ""4-Dioxane"", ""Dichloromethane"", ""Water""]"	120.0	36.0	97	OB(O)c1ccccc1 . Brc1ccc2c(c1)Sc1ccccc1N2 . COc1ccc(Br)cc1	COc1ccc(N2c3ccccc3Sc3cc(-c4ccccc4)ccc32)cc1	Angewandte Chemie, International Edition (2021), 60(5), 2455-2463. | Liu, Xinrui; et al | Angewandte Chemie, International Edition (2021), 60(5), 2455-2463.	Pd/Tri-tert-butylphosphonium tetrafluoroborate/13400-13-0+7772-98-7+865-48-5+Cesium fluoride+Sodium tert-butoxide+Sodium thiosulfate/1+123-91-1+4-Dioxane+75-09-2+7732-18-5+Dichloromethane+Water			RCT: 696-62-8 + 2088305-62-6 | PRO: 2375469-93-3 | RGT: 13400-13-0 + 865-48-5 + 7772-98-7 | CAT: 32005-36-0 + 131274-22-1 | SOL: 123-91-1 + 75-09-2 + 7732-18-5	"[""696-62-8"", ""2088305-62-6""]"	"[""2375469-93-3""]"	"[""13400-13-0"", ""865-48-5"", ""7772-98-7""]"	"[""32005-36-0"", ""131274-22-1""]"	"[""123-91-1"", ""75-09-2"", ""7732-18-5""]"	"[""Sodium tert-butoxide""]"
31-614-CAS-24036161	Buchwald	"[""Bis(dibenzylideneacetone)palladium""]"	"[""Pd""]"	"[""Tri-tert-butylphosphonium tetrafluoroborate""]"	"[""13400-13-0"", ""865-48-5"", ""7772-98-7"", ""Cesium fluoride"", ""Sodium tert-butoxide"", ""Sodium thiosulfate""]"	"[""BASE""]"	"[""Sodium tert-butoxide""]"	"[""123-91-1"", ""75-09-2"", ""7732-18-5"", ""1"", ""4-Dioxane"", ""Dichloromethane"", ""Water""]"	120.0	36.0	81	OB(O)c1ccccc1 . Brc1ccc2c(c1)Sc1ccccc1N2 . CN(C)c1ccc(Br)cc1	CN(C)c1ccc(N2c3ccccc3Sc3cc(-c4ccccc4)ccc32)cc1	Organic Letters (2022), 24(20), 3736-3740. | Scattolin, Thomas; et al | Organic Letters (2022), 24(20), 3736-3740.	Pd/Tri-tert-butylphosphonium tetrafluoroborate/13400-13-0+7772-98-7+865-48-5+Cesium fluoride+Sodium tert-butoxide+Sodium thiosulfate/1+123-91-1+4-Dioxane+75-09-2+7732-18-5+Dichloromethane+Water			RCT: 3378-82-3 + 41220-24-0 | PRO: 3060705-30-5 | RGT: 13400-13-0 + 865-48-5 + 7772-98-7 | CAT: 32005-36-0 + 131274-22-1 | SOL: 123-91-1 + 75-09-2 + 7732-18-5	"[""3378-82-3"", ""41220-24-0""]"	"[""3060705-30-5""]"	"[""13400-13-0"", ""865-48-5"", ""7772-98-7""]"	"[""32005-36-0"", ""131274-22-1""]"	"[""123-91-1"", ""75-09-2"", ""7732-18-5""]"	"[""Sodium tert-butoxide""]"
31-614-CAS-24036162	Buchwald	"[""Bis(dibenzylideneacetone)palladium""]"	"[""Pd""]"	"[""Tri-tert-butylphosphonium tetrafluoroborate""]"	"[""13400-13-0"", ""865-48-5"", ""7772-98-7"", ""Cesium fluoride"", ""Sodium tert-butoxide"", ""Sodium thiosulfate""]"	"[""BASE""]"	"[""Sodium tert-butoxide""]"	"[""123-91-1"", ""75-09-2"", ""7732-18-5"", ""1"", ""4-Dioxane"", ""Dichloromethane"", ""Water""]"	120.0	36.0	62	OB(O)c1ccccc1 . Brc1ccc2c(c1)Sc1ccccc1N2 . N#Cc1ccc(Br)cc1	N#Cc1ccc(N2c3ccccc3Sc3cc(-c4ccccc4)ccc32)cc1	Journal of the American Chemical Society (2024), 146(48), 33035-33047. | Raguram, Elaine Reichert; et al | Journal of the American Chemical Society (2024), 146(48), 33035-33047.	Pd/Tri-tert-butylphosphonium tetrafluoroborate/13400-13-0+7772-98-7+865-48-5+Cesium fluoride+Sodium tert-butoxide+Sodium thiosulfate/1+123-91-1+4-Dioxane+75-09-2+7732-18-5+Dichloromethane+Water			RCT: 256-96-2 + 591-50-4 | PRO: 78943-59-6 | RGT: 13400-13-0 + 865-48-5 + 7772-98-7 | CAT: 32005-36-0 + 131274-22-1 | SOL: 123-91-1 + 75-09-2 + 7732-18-5	"[""256-96-2"", ""591-50-4""]"	"[""78943-59-6""]"	"[""13400-13-0"", ""865-48-5"", ""7772-98-7""]"	"[""32005-36-0"", ""131274-22-1""]"	"[""123-91-1"", ""75-09-2"", ""7732-18-5""]"	"[""Sodium tert-butoxide""]"
31-614-CAS-24036166	Buchwald	"[""Bis(dibenzylideneacetone)palladium""]"	"[""Pd""]"	"[""Tri-tert-butylphosphonium tetrafluoroborate""]"	"[""13400-13-0"", ""865-48-5"", ""7772-98-7"", ""Cesium fluoride"", ""Sodium tert-butoxide"", ""Sodium thiosulfate""]"	"[""BASE""]"	"[""Sodium tert-butoxide""]"	"[""123-91-1"", ""75-09-2"", ""7732-18-5"", ""1"", ""4-Dioxane"", ""Dichloromethane"", ""Water""]"	120.0	37.0	76	Brc1ccc2c(c1)Sc1ccccc1N2 . COc1ccc(B(O)O)cc1 . Brc1ccccc1	COc1ccc(-c2ccc3c(c2)Sc2ccccc2N3c2ccccc2)cc1	Organic Letters (2022), 24(20), 3736-3740. | Scattolin, Thomas; et al | Organic Letters (2022), 24(20), 3736-3740.	Pd/Tri-tert-butylphosphonium tetrafluoroborate/13400-13-0+7772-98-7+865-48-5+Cesium fluoride+Sodium tert-butoxide+Sodium thiosulfate/1+123-91-1+4-Dioxane+75-09-2+7732-18-5+Dichloromethane+Water			RCT: 100-63-0 + 2089307-97-9 | PRO: 3025966-97-3 | RGT: 13400-13-0 + 865-48-5 + 7772-98-7 | CAT: 32005-36-0 + 131274-22-1 | SOL: 123-91-1 + 75-09-2 + 7732-18-5	"[""100-63-0"", ""2089307-97-9""]"	"[""3025966-97-3""]"	"[""13400-13-0"", ""865-48-5"", ""7772-98-7""]"	"[""32005-36-0"", ""131274-22-1""]"	"[""123-91-1"", ""75-09-2"", ""7732-18-5""]"	"[""Sodium tert-butoxide""]"
31-614-CAS-24036167	Buchwald	"[""Bis(dibenzylideneacetone)palladium""]"	"[""Pd""]"	"[""Tri-tert-butylphosphonium tetrafluoroborate""]"	"[""13400-13-0"", ""865-48-5"", ""7772-98-7"", ""Cesium fluoride"", ""Sodium tert-butoxide"", ""Sodium thiosulfate""]"	"[""BASE""]"	"[""Sodium tert-butoxide""]"	"[""123-91-1"", ""75-09-2"", ""7732-18-5"", ""1"", ""4-Dioxane"", ""Dichloromethane"", ""Water""]"	120.0	36.0	65	Brc1ccc2c(c1)Sc1ccccc1N2 . CN(C)c1ccc(B(O)O)cc1 . Brc1ccccc1	CN(C)c1ccc(-c2ccc3c(c2)Sc2ccccc2N3c2ccccc2)cc1	Organic Letters (2022), 24(20), 3736-3740. | Scattolin, Thomas; et al | Organic Letters (2022), 24(20), 3736-3740.	Pd/Tri-tert-butylphosphonium tetrafluoroborate/13400-13-0+7772-98-7+865-48-5+Cesium fluoride+Sodium tert-butoxide+Sodium thiosulfate/1+123-91-1+4-Dioxane+75-09-2+7732-18-5+Dichloromethane+Water			RCT: 110-89-4 + 25676-75-9 | PRO: 2898501-44-3 | RGT: 13400-13-0 + 865-48-5 + 7772-98-7 | CAT: 32005-36-0 + 131274-22-1 | SOL: 123-91-1 + 75-09-2 + 7732-18-5	"[""110-89-4"", ""25676-75-9""]"	"[""2898501-44-3""]"	"[""13400-13-0"", ""865-48-5"", ""7772-98-7""]"	"[""32005-36-0"", ""131274-22-1""]"	"[""123-91-1"", ""75-09-2"", ""7732-18-5""]"	"[""Sodium tert-butoxide""]"
31-614-CAS-24079413	Buchwald	"[""Bis(tri-tert-butylphosphine)palladium""]"	"[""Pd""]"	"[""none""]"	"[""865-48-5"", ""Sodium tert-butoxide""]"	"[""BASE""]"	"[""Sodium tert-butoxide""]"	"[""123-91-1"", ""1"", ""4-Dioxane""]"	120.0	48.0	73	C1=Cc2ccccc2Nc2ccccc21 . Brc1ccc2c(ccc3nc4ccc5cc(Br)ccc5c4nc32)c1	C1=Cc2ccccc2N(c2ccc3c(ccc4nc5ccc6cc(N7c8ccccc8C=Cc8ccccc87)ccc6c5nc43)c2)c2ccccc21	Organic Letters (2022), 24(20), 3736-3740. | Scattolin, Thomas; et al | Organic Letters (2022), 24(20), 3736-3740.	Pd/none/865-48-5+Sodium tert-butoxide/1+123-91-1+4-Dioxane			RCT: 771-99-3 + 2768645-93-6 | PRO: 2768646-37-1 | RGT: 865-48-5 | CAT: 53199-31-8 | SOL: 123-91-1	"[""771-99-3"", ""2768645-93-6""]"	"[""2768646-37-1""]"	"[""865-48-5""]"	"[""53199-31-8""]"	"[""123-91-1""]"	"[""Sodium tert-butoxide""]"
31-614-CAS-24079414	Buchwald	"[""Bis(tri-tert-butylphosphine)palladium""]"	"[""Pd""]"	"[""none""]"	"[""865-48-5"", ""Sodium tert-butoxide""]"	"[""BASE""]"	"[""Sodium tert-butoxide""]"	"[""123-91-1"", ""1"", ""4-Dioxane""]"	120.0	42.0	78	c1ccc2c(c1)CCc1ccccc1N2 . Brc1ccc2c(ccc3nc4ccc5cc(Br)ccc5c4nc32)c1	c1ccc2c(c1)CCc1ccccc1N2c1ccc2c(ccc3nc4ccc5cc(N6c7ccccc7CCc7ccccc76)ccc5c4nc32)c1	Organic Letters (2022), 24(20), 3736-3740. | Scattolin, Thomas; et al | Organic Letters (2022), 24(20), 3736-3740.	Pd/none/865-48-5+Sodium tert-butoxide/1+123-91-1+4-Dioxane			RCT: 109-11-5 + 936691-31-5 | PRO: 2795229-68-2 | RGT: 865-48-5 | CAT: 53199-31-8 | SOL: 123-91-1	"[""109-11-5"", ""936691-31-5""]"	"[""2795229-68-2""]"	"[""865-48-5""]"	"[""53199-31-8""]"	"[""123-91-1""]"	"[""Sodium tert-butoxide""]"
31-614-CAS-24138700	Buchwald	"[""Palladium trifluoroacetate""]"	"[""Pd""]"	"[""none""]"	"[""121-44-8"", ""Triethylamine""]"	"[""BASE""]"	"[""Triethylamine""]"	"[""75-05-8"", ""Acetonitrile""]"	100.0	24.0	82	Ic1ccccc1 . Cc1ccc(N=C(NN)C(F)(F)F)cc1 . O=COc1cc(OC=O)cc(OC=O)c1	Cc1ccc(-n2c(-c3ccccc3)nnc2C(F)(F)F)cc1	Angewandte Chemie, International Edition (2021), 60(5), 2455-2463. | Liu, Xinrui; et al | Angewandte Chemie, International Edition (2021), 60(5), 2455-2463.	Pd/none/121-44-8+Triethylamine/75-05-8+Acetonitrile			RCT: 110-91-8 + 39890-95-4 | PRO: 914636-87-6 | RGT: 121-44-8 | CAT: 42196-31-6 | SOL: 75-05-8	"[""110-91-8"", ""39890-95-4""]"	"[""914636-87-6""]"	"[""121-44-8""]"	"[""42196-31-6""]"	"[""75-05-8""]"	"[""Triethylamine""]"
31-614-CAS-24138714	Buchwald	"[""Palladium trifluoroacetate""]"	"[""Pd""]"	"[""none""]"	"[""121-44-8"", ""Triethylamine""]"	"[""BASE""]"	"[""Triethylamine""]"	"[""75-05-8"", ""Acetonitrile""]"	100.0	24.0	83	Ic1ccccc1 . O=COc1cc(OC=O)cc(OC=O)c1 . NNC(=Nc1ccc(Br)cc1)C(F)(F)F	FC(F)(F)c1nnc(-c2ccccc2)n1-c1ccc(Br)cc1	Angewandte Chemie, International Edition (2021), 60(5), 2455-2463. | Liu, Xinrui; et al | Angewandte Chemie, International Edition (2021), 60(5), 2455-2463.	Pd/none/121-44-8+Triethylamine/75-05-8+Acetonitrile			RCT: 90-11-9 + 31166-44-6 | PRO: 2144812-45-1 | RGT: 121-44-8 | CAT: 42196-31-6 | SOL: 75-05-8	"[""90-11-9"", ""31166-44-6""]"	"[""2144812-45-1""]"	"[""121-44-8""]"	"[""42196-31-6""]"	"[""75-05-8""]"	"[""Triethylamine""]"
31-614-CAS-24138715	Buchwald	"[""Palladium trifluoroacetate""]"	"[""Pd""]"	"[""none""]"	"[""121-44-8"", ""Triethylamine""]"	"[""BASE""]"	"[""Triethylamine""]"	"[""75-05-8"", ""Acetonitrile""]"	100.0	24.0	94	Ic1ccccc1 . NNC(=Nc1ccc(F)cc1)C(F)(F)F . O=COc1cc(OC=O)cc(OC=O)c1	Fc1ccc(-n2c(-c3ccccc3)nnc2C(F)(F)F)cc1	Angewandte Chemie, International Edition (2021), 60(5), 2455-2463. | Liu, Xinrui; et al | Angewandte Chemie, International Edition (2021), 60(5), 2455-2463.	Pd/none/121-44-8+Triethylamine/75-05-8+Acetonitrile			RCT: 123-75-1 + 52488-36-5 | PRO: 3033531-34-6 | RGT: 121-44-8 | CAT: 42196-31-6 | SOL: 75-05-8	"[""123-75-1"", ""52488-36-5""]"	"[""3033531-34-6""]"	"[""121-44-8""]"	"[""42196-31-6""]"	"[""75-05-8""]"	"[""Triethylamine""]"
31-614-CAS-24138716	Buchwald	"[""Palladium trifluoroacetate""]"	"[""Pd""]"	"[""none""]"	"[""121-44-8"", ""Triethylamine""]"	"[""BASE""]"	"[""Triethylamine""]"	"[""75-05-8"", ""Acetonitrile""]"	100.0	24.0	78	Ic1ccccc1 . NNC(=Nc1ccc(Cl)cc1)C(F)(F)F . O=COc1cc(OC=O)cc(OC=O)c1	FC(F)(F)c1nnc(-c2ccccc2)n1-c1ccc(Cl)cc1	Organic Letters (2022), 24(20), 3736-3740. | Scattolin, Thomas; et al | Organic Letters (2022), 24(20), 3736-3740.	Pd/none/121-44-8+Triethylamine/75-05-8+Acetonitrile			RCT: 2698375-24-3 + 2698375-26-5 | PRO: 2698375-25-4 | RGT: 121-44-8 | CAT: 42196-31-6 | SOL: 75-05-8	"[""2698375-24-3"", ""2698375-26-5""]"	"[""2698375-25-4""]"	"[""121-44-8""]"	"[""42196-31-6""]"	"[""75-05-8""]"	"[""Triethylamine""]"
31-614-CAS-24138717	Buchwald	"[""Palladium trifluoroacetate""]"	"[""Pd""]"	"[""none""]"	"[""121-44-8"", ""Triethylamine""]"	"[""BASE""]"	"[""Triethylamine""]"	"[""75-05-8"", ""Acetonitrile""]"	100.0	24.0	84	Ic1ccccc1 . COc1ccc(N=C(NN)C(F)(F)F)cc1 . O=COc1cc(OC=O)cc(OC=O)c1	COc1ccc(-n2c(-c3ccccc3)nnc2C(F)(F)F)cc1	Angewandte Chemie, International Edition (2021), 60(5), 2455-2463. | Liu, Xinrui; et al | Angewandte Chemie, International Edition (2021), 60(5), 2455-2463.	Pd/none/121-44-8+Triethylamine/75-05-8+Acetonitrile			RCT: 591-18-4 + 4627-22-9 | PRO: 1426058-53-8 | RGT: 121-44-8 | CAT: 42196-31-6 | SOL: 75-05-8	"[""591-18-4"", ""4627-22-9""]"	"[""1426058-53-8""]"	"[""121-44-8""]"	"[""42196-31-6""]"	"[""75-05-8""]"	"[""Triethylamine""]"
31-614-CAS-24138720	Buchwald	"[""Palladium trifluoroacetate""]"	"[""Pd""]"	"[""none""]"	"[""121-44-8"", ""Triethylamine""]"	"[""BASE""]"	"[""Triethylamine""]"	"[""75-05-8"", ""Acetonitrile""]"	100.0	24.0	56	Ic1ccccc1 . O=COc1cc(OC=O)cc(OC=O)c1 . CC(C)(C)c1ccc(N=C(NN)C(F)(F)F)cc1	CC(C)(C)c1ccc(-n2c(-c3ccccc3)nnc2C(F)(F)F)cc1	Journal of the American Chemical Society (2024), 146(48), 33035-33047. | Raguram, Elaine Reichert; et al | Journal of the American Chemical Society (2024), 146(48), 33035-33047.	Pd/none/121-44-8+Triethylamine/75-05-8+Acetonitrile			RCT: 2604236-89-5 | PRO: 2604237-18-3 | RGT: 121-44-8 | CAT: 42196-31-6 | SOL: 75-05-8	"[""2604236-89-5""]"	"[""2604237-18-3""]"	"[""121-44-8""]"	"[""42196-31-6""]"	"[""75-05-8""]"	"[""Triethylamine""]"
31-614-CAS-24138721	Buchwald	"[""Palladium trifluoroacetate""]"	"[""Pd""]"	"[""none""]"	"[""121-44-8"", ""Triethylamine""]"	"[""BASE""]"	"[""Triethylamine""]"	"[""75-05-8"", ""Acetonitrile""]"	100.0	24.0	81	Ic1ccccc1 . NNC(=Nc1ccc([N+](=O)[O-])cc1)C(F)(F)F . O=COc1cc(OC=O)cc(OC=O)c1	O=[N+]([O-])c1ccc(-n2c(-c3ccccc3)nnc2C(F)(F)F)cc1	Organic Letters (2022), 24(20), 3736-3740. | Scattolin, Thomas; et al | Organic Letters (2022), 24(20), 3736-3740.	Pd/none/121-44-8+Triethylamine/75-05-8+Acetonitrile			RCT: 13889-98-0 + 412048-77-2 | PRO: 423174-23-6 | RGT: 121-44-8 | CAT: 42196-31-6 | SOL: 75-05-8	"[""13889-98-0"", ""412048-77-2""]"	"[""423174-23-6""]"	"[""121-44-8""]"	"[""42196-31-6""]"	"[""75-05-8""]"	"[""Triethylamine""]"
31-614-CAS-24138723	Buchwald	"[""Palladium trifluoroacetate""]"	"[""Pd""]"	"[""none""]"	"[""121-44-8"", ""Triethylamine""]"	"[""BASE""]"	"[""Triethylamine""]"	"[""75-05-8"", ""Acetonitrile""]"	100.0	24.0	51	Ic1ccccc1 . NNC(=Nc1ccccc1)C(F)(F)F . O=COc1cc(OC=O)cc(OC=O)c1	FC(F)(F)c1nnc(-c2ccccc2)n1-c1ccccc1	Journal of the American Chemical Society (2024), 146(48), 33035-33047. | Raguram, Elaine Reichert; et al | Journal of the American Chemical Society (2024), 146(48), 33035-33047.	Pd/none/121-44-8+Triethylamine/75-05-8+Acetonitrile			RCT: 5308-25-8 + 26218-78-0 | PRO: 132144-05-9 | RGT: 121-44-8 | CAT: 42196-31-6 | SOL: 75-05-8	"[""5308-25-8"", ""26218-78-0""]"	"[""132144-05-9""]"	"[""121-44-8""]"	"[""42196-31-6""]"	"[""75-05-8""]"	"[""Triethylamine""]"
31-614-CAS-24138724	Buchwald	"[""Palladium trifluoroacetate""]"	"[""Pd""]"	"[""none""]"	"[""121-44-8"", ""Triethylamine""]"	"[""BASE""]"	"[""Triethylamine""]"	"[""75-05-8"", ""Acetonitrile""]"	100.0	24.0	70	COC(=O)c1ccc(I)cc1 . COc1ccc(N=C(NN)C(F)(F)F)cc1 . O=COc1cc(OC=O)cc(OC=O)c1	COC(=O)c1ccc(-c2nnc(C(F)(F)F)n2-c2ccc(OC)cc2)cc1	Organic Letters (2022), 24(20), 3736-3740. | Scattolin, Thomas; et al | Organic Letters (2022), 24(20), 3736-3740.	Pd/none/121-44-8+Triethylamine/75-05-8+Acetonitrile			RCT: 451459-17-9 + 2607141-62-6 | PRO: 2607141-63-7 | RGT: 121-44-8 | CAT: 42196-31-6 | SOL: 75-05-8	"[""451459-17-9"", ""2607141-62-6""]"	"[""2607141-63-7""]"	"[""121-44-8""]"	"[""42196-31-6""]"	"[""75-05-8""]"	"[""Triethylamine""]"
