ReactionID,ReactionType,CoreDetail,CoreGeneric,Ligand,ReagentRaw,ReagentRole,Solvent,Temperature_C,Time_h,Yield_%,ReactantSMILES,ProductSMILES,Reference,CondKey,CondSig,FamSig,RawCAS,RCTName,PROName,RGTName,CATName,SOLName
31-614-CAS-39663079,Ullmann,"[""Cupric acetate""]","[""Cu(II)""]","[""Tris(2"", ""2-bipyridyl)ruthenium(II) chloride""]","[""Oxygen""]","[""OX""]","[""1"", ""2-Dichloroethane""]",25.0,12.0,88,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu(II)/2-bipyridyl)ruthenium(II) chloride+Tris(2/Oxygen/1+2-Dichloroethane,ff0278e3,ff0278e3,RCT: 104-92-7 + 120-72-9 | PRO: 93597-01-4 | RGT: 7782-44-7 | CAT: 142-71-2 + 14323-06-9 | SOL: 107-06-2,"[""104-92-7"", ""120-72-9""]","[""93597-01-4""]","[""Oxygen (O2)""]","[""Copper(II) acetate (Cu(OAc)2)"", ""Unresolved CAS 14323-06-9""]","[""1,2-Dichloroethane (DCE)""]"
31-614-CAS-39663305,Ullmann,"[""Copper; 4 h""]","[""Cu""]","[""150 C""]","[""Sodium hydride"", ""Water""]","[""UNK"", ""WORKUP""]","[""Dimethylformamide""]",150.0,4.5,90,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu/150 C/Sodium hydride+Water/Dimethylformamide,cd75b2bd,cd75b2bd,RCT: 109-04-6 + 3652-90-2 | PRO: 1352932-32-1 | RGT: 7646-69-7 + 7732-18-5 | CAT: 7440-50-8 | SOL: 68-12-2,"[""109-04-6"", ""3652-90-2""]","[""1352932-32-1""]","[""Unresolved CAS 7646-69-7"", ""Water""]","[""Copper (Cu, zero-valent)""]","[""DMF""]"
31-614-CAS-39675950,Ullmann,"[""Cuprous iodide""]","[""Cu(I)""]","[""none""]","[""Iodine"", ""Oxygen""]","[""UNK"", ""OX""]","[""Toluene"", ""1"", ""4-Dioxane""]",80.0,24.0,77,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu(I)/none/Iodine+Oxygen/1+4-Dioxane+Toluene,a032aebc,a032aebc,RCT: 108-86-1 + 111-49-9 | PRO: 40832-99-3 | RGT: 7553-56-2 + 7782-44-7 | CAT: 7681-65-4 | SOL: 108-88-3 + 123-91-1,"[""108-86-1"", ""111-49-9""]","[""40832-99-3""]","[""Unresolved CAS 7553-56-2"", ""Oxygen (O2)""]","[""Copper(I) iodide (CuI)""]","[""Toluene"", ""1,4-Dioxane""]"
31-614-CAS-39675959,Ullmann,"[""Cuprous iodide""]","[""Cu(I)""]","[""none""]","[""Iodine"", ""Oxygen""]","[""UNK"", ""OX""]","[""Toluene"", ""1"", ""4-Dioxane""]",80.0,24.0,84,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu(I)/none/Iodine+Oxygen/1+4-Dioxane+Toluene,a032aebc,a032aebc,RCT: 591-17-3 + 658683-16-0 | PRO: 3053056-06-4 | RGT: 7553-56-2 + 7782-44-7 | CAT: 7681-65-4 | SOL: 108-88-3 + 123-91-1,"[""591-17-3"", ""658683-16-0""]","[""3053056-06-4""]","[""Unresolved CAS 7553-56-2"", ""Oxygen (O2)""]","[""Copper(I) iodide (CuI)""]","[""Toluene"", ""1,4-Dioxane""]"
31-614-CAS-39675979,Ullmann,"[""Cuprous iodide""]","[""Cu(I)""]","[""none""]","[""Iodine"", ""Oxygen""]","[""UNK"", ""OX""]","[""Dimethyl sulfoxide"", ""1"", ""4-Dioxane""]",80.0,24.0,71,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu(I)/none/Iodine+Oxygen/1+4-Dioxane+Dimethyl sulfoxide,e05dc97f,e05dc97f,RCT: 147539-61-5 + 187973-60-0 | PRO: 1867708-56-2 | RGT: 7553-56-2 + 7782-44-7 | CAT: 7681-65-4 | SOL: 67-68-5 + 123-91-1,"[""147539-61-5"", ""187973-60-0""]","[""1867708-56-2""]","[""Unresolved CAS 7553-56-2"", ""Oxygen (O2)""]","[""Copper(I) iodide (CuI)""]","[""DMSO"", ""1,4-Dioxane""]"
31-614-CAS-39676053,Ullmann,"[""Nickel monoxide"", ""Copper oxide (CuO); 10 min""]","[""Ni"", ""Cu""]","[""Cobalt oxide (Co3O4)"", ""100 C""]",[],[],[],100.0,0.167,95,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu+Ni/100 C+Cobalt oxide (Co3O4)/none/none,33560cbf,33560cbf,RCT: 98-03-3 + 15310-01-7 | PRO: 300718-32-5 | CAT: 1308-06-1 + 1313-99-1 + 1317-38-0,"[""98-03-3"", ""15310-01-7""]","[""300718-32-5""]",[],"[""Unresolved CAS 1308-06-1"", ""Unresolved CAS 1313-99-1"", ""Copper(II) oxide (CuO)""]",[]
31-614-CAS-39676056,Ullmann,"[""Nickel monoxide"", ""Copper oxide (CuO); 15 min""]","[""Ni"", ""Cu""]","[""Cobalt oxide (Co3O4)"", ""100 C""]",[],[],[],100.0,0.25,92,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu+Ni/100 C+Cobalt oxide (Co3O4)/none/none,33560cbf,33560cbf,RCT: 126-81-8 + 153386-07-3 | PRO: 2999684-22-7 | CAT: 1308-06-1 + 1313-99-1 + 1317-38-0,"[""126-81-8"", ""153386-07-3""]","[""2999684-22-7""]",[],"[""Unresolved CAS 1308-06-1"", ""Unresolved CAS 1313-99-1"", ""Copper(II) oxide (CuO)""]",[]
31-614-CAS-39790991,Ullmann,"[""Copper oxide (CuO)""]","[""Cu""]","[""none""]","[""Sodium azide""]","[""NUC""]","[""Polyethylene glycol""]",80.0,10.0,94,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu/none/Sodium azide/Polyethylene glycol,1851585e,1851585e,RCT: 123-11-5 + 15310-01-7 | PRO: 36567-90-5 | RGT: 26628-22-8 | CAT: 1317-38-0 | SOL: 25322-68-3,"[""123-11-5"", ""15310-01-7""]","[""36567-90-5""]","[""Unresolved CAS 26628-22-8""]","[""Copper(II) oxide (CuO)""]","[""Unresolved CAS 25322-68-3""]"
31-614-CAS-39790992,Ullmann,"[""Copper oxide (CuO)""]","[""Cu""]","[""none""]","[""Sodium azide""]","[""NUC""]","[""Polyethylene glycol""]",80.0,10.0,96,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu/none/Sodium azide/Polyethylene glycol,1851585e,1851585e,RCT: 100-52-7 + 15310-01-7 | PRO: 22686-82-4 | RGT: 26628-22-8 | CAT: 1317-38-0 | SOL: 25322-68-3,"[""100-52-7"", ""15310-01-7""]","[""22686-82-4""]","[""Unresolved CAS 26628-22-8""]","[""Copper(II) oxide (CuO)""]","[""Unresolved CAS 25322-68-3""]"
31-614-CAS-39790994,Ullmann,"[""Copper oxide (CuO)""]","[""Cu""]","[""none""]","[""Sodium azide""]","[""NUC""]","[""Polyethylene glycol""]",80.0,10.0,94,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu/none/Sodium azide/Polyethylene glycol,1851585e,1851585e,RCT: 89-98-5 + 15310-01-7 | PRO: 887628-91-3 | RGT: 26628-22-8 | CAT: 1317-38-0 | SOL: 25322-68-3,"[""89-98-5"", ""15310-01-7""]","[""887628-91-3""]","[""Unresolved CAS 26628-22-8""]","[""Copper(II) oxide (CuO)""]","[""Unresolved CAS 25322-68-3""]"
31-614-CAS-39790996,Ullmann,"[""Copper oxide (CuO)""]","[""Cu""]","[""none""]","[""Sodium azide""]","[""NUC""]","[""Polyethylene glycol""]",80.0,10.0,96,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu/none/Sodium azide/Polyethylene glycol,1851585e,1851585e,RCT: 104-88-1 + 15310-01-7 | PRO: 71047-77-3 | RGT: 26628-22-8 | CAT: 1317-38-0 | SOL: 25322-68-3,"[""104-88-1"", ""15310-01-7""]","[""71047-77-3""]","[""Unresolved CAS 26628-22-8""]","[""Copper(II) oxide (CuO)""]","[""Unresolved CAS 25322-68-3""]"
31-614-CAS-39790999,Ullmann,"[""Copper oxide (CuO)""]","[""Cu""]","[""none""]","[""Sodium azide""]","[""NUC""]","[""Polyethylene glycol""]",80.0,13.0,78,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu/none/Sodium azide/Polyethylene glycol,1851585e,1851585e,RCT: 420-04-2 + 303991-99-3 | PRO: 3023422-41-2 | RGT: 26628-22-8 | CAT: 1317-38-0 | SOL: 25322-68-3,"[""420-04-2"", ""303991-99-3""]","[""3023422-41-2""]","[""Unresolved CAS 26628-22-8""]","[""Copper(II) oxide (CuO)""]","[""Unresolved CAS 25322-68-3""]"
31-614-CAS-39791000,Ullmann,"[""Copper oxide (CuO)""]","[""Cu""]","[""none""]","[""Sodium azide""]","[""NUC""]","[""Polyethylene glycol""]",80.0,10.0,95,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu/none/Sodium azide/Polyethylene glycol,1851585e,1851585e,RCT: 529-20-4 + 15310-01-7 | PRO: 284465-80-1 | RGT: 26628-22-8 | CAT: 1317-38-0 | SOL: 25322-68-3,"[""529-20-4"", ""15310-01-7""]","[""284465-80-1""]","[""Unresolved CAS 26628-22-8""]","[""Copper(II) oxide (CuO)""]","[""Unresolved CAS 25322-68-3""]"
31-614-CAS-39791002,Ullmann,"[""Copper oxide (CuO)""]","[""Cu""]","[""none""]","[""Sodium azide""]","[""NUC""]","[""Polyethylene glycol""]",80.0,10.0,95,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu/none/Sodium azide/Polyethylene glycol,1851585e,1851585e,RCT: 98-03-3 + 15310-01-7 | PRO: 300718-32-5 | RGT: 26628-22-8 | CAT: 1317-38-0 | SOL: 25322-68-3,"[""98-03-3"", ""15310-01-7""]","[""300718-32-5""]","[""Unresolved CAS 26628-22-8""]","[""Copper(II) oxide (CuO)""]","[""Unresolved CAS 25322-68-3""]"
31-614-CAS-39791003,Ullmann,"[""Copper oxide (CuO)""]","[""Cu""]","[""none""]","[""Sodium azide""]","[""NUC""]","[""Polyethylene glycol""]",80.0,10.0,82,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu/none/Sodium azide/Polyethylene glycol,1851585e,1851585e,RCT: 288-32-4 + 626-01-7 | PRO: 112677-67-5 | RGT: 26628-22-8 | CAT: 1317-38-0 | SOL: 25322-68-3,"[""Unresolved CAS 288-32-4"", ""626-01-7""]","[""112677-67-5""]","[""Unresolved CAS 26628-22-8""]","[""Copper(II) oxide (CuO)""]","[""Unresolved CAS 25322-68-3""]"
31-614-CAS-39791004,Ullmann,"[""Copper oxide (CuO)""]","[""Cu""]","[""none""]","[""Sodium azide""]","[""NUC""]","[""Polyethylene glycol""]",80.0,10.0,90,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu/none/Sodium azide/Polyethylene glycol,1851585e,1851585e,RCT: 51-17-2 + 109-04-6 + 75-03-6 | PRO: 1643130-12-4 | RGT: 26628-22-8 | CAT: 1317-38-0 | SOL: 25322-68-3,"[""51-17-2"", ""109-04-6"", ""75-03-6""]","[""1643130-12-4""]","[""Unresolved CAS 26628-22-8""]","[""Copper(II) oxide (CuO)""]","[""Unresolved CAS 25322-68-3""]"
31-614-CAS-39791005,Ullmann,"[""Copper oxide (CuO)""]","[""Cu""]","[""none""]","[""Sodium azide""]","[""NUC""]","[""Polyethylene glycol""]",80.0,10.0,97,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu/none/Sodium azide/Polyethylene glycol,1851585e,1851585e,RCT: 66-77-3 + 15310-01-7 | PRO: 858466-01-0 | RGT: 26628-22-8 | CAT: 1317-38-0 | SOL: 25322-68-3,"[""66-77-3"", ""15310-01-7""]","[""858466-01-0""]","[""Unresolved CAS 26628-22-8""]","[""Copper(II) oxide (CuO)""]","[""Unresolved CAS 25322-68-3""]"
31-614-CAS-39791006,Ullmann,"[""Copper oxide (CuO)""]","[""Cu""]","[""none""]","[""Sodium azide""]","[""NUC""]","[""Polyethylene glycol""]",80.0,10.0,82,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu/none/Sodium azide/Polyethylene glycol,1851585e,1851585e,RCT: 4965-36-0 + 1547036-10-1 | PRO: 3038179-07-3 | RGT: 26628-22-8 | CAT: 1317-38-0 | SOL: 25322-68-3,"[""4965-36-0"", ""1547036-10-1""]","[""3038179-07-3""]","[""Unresolved CAS 26628-22-8""]","[""Copper(II) oxide (CuO)""]","[""Unresolved CAS 25322-68-3""]"
31-614-CAS-39791008,Ullmann,"[""Copper oxide (CuO)""]","[""Cu""]","[""none""]","[""Sodium azide""]","[""NUC""]","[""Polyethylene glycol""]",80.0,10.0,92,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu/none/Sodium azide/Polyethylene glycol,1851585e,1851585e,RCT: 89-98-5 + 15310-01-7 | PRO: 887628-91-3 | RGT: 26628-22-8 | CAT: 1317-38-0 | SOL: 25322-68-3,"[""89-98-5"", ""15310-01-7""]","[""887628-91-3""]","[""Unresolved CAS 26628-22-8""]","[""Copper(II) oxide (CuO)""]","[""Unresolved CAS 25322-68-3""]"
31-614-CAS-39791009,Ullmann,"[""Copper oxide (CuO)""]","[""Cu""]","[""none""]","[""Sodium azide""]","[""NUC""]","[""Polyethylene glycol""]",80.0,10.0,95,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu/none/Sodium azide/Polyethylene glycol,1851585e,1851585e,RCT: 288-13-1 + 89346-48-5 | PRO: 3055343-69-3 | RGT: 26628-22-8 | CAT: 1317-38-0 | SOL: 25322-68-3,"[""288-13-1"", ""89346-48-5""]","[""3055343-69-3""]","[""Unresolved CAS 26628-22-8""]","[""Copper(II) oxide (CuO)""]","[""Unresolved CAS 25322-68-3""]"
31-614-CAS-39791010,Ullmann,"[""Copper oxide (CuO)""]","[""Cu""]","[""none""]","[""Sodium azide""]","[""NUC""]","[""Polyethylene glycol""]",80.0,10.0,94,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu/none/Sodium azide/Polyethylene glycol,1851585e,1851585e,RCT: 100-63-0 + 104-88-1 + 141-97-9 | PRO: 143699-06-3 | RGT: 26628-22-8 | CAT: 1317-38-0 | SOL: 25322-68-3,"[""100-63-0"", ""104-88-1"", ""141-97-9""]","[""143699-06-3""]","[""Unresolved CAS 26628-22-8""]","[""Copper(II) oxide (CuO)""]","[""Unresolved CAS 25322-68-3""]"
31-614-CAS-39791012,Ullmann,"[""Copper oxide (CuO)""]","[""Cu""]","[""none""]","[""Sodium azide""]","[""NUC""]","[""Polyethylene glycol""]",80.0,10.0,86,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu/none/Sodium azide/Polyethylene glycol,1851585e,1851585e,RCT: 109-77-3 + 153386-07-3 | PRO: 2999684-33-0 | RGT: 26628-22-8 | CAT: 1317-38-0 | SOL: 25322-68-3,"[""109-77-3"", ""153386-07-3""]","[""2999684-33-0""]","[""Unresolved CAS 26628-22-8""]","[""Copper(II) oxide (CuO)""]","[""Unresolved CAS 25322-68-3""]"
31-614-CAS-39810074,Ullmann,"[""Cuprous iodide""]","[""Cu(I)""]","[""1H-Benzotriazole""]","[""Potassium tert-butoxide""]","[""BASE""]","[""Dimethyl sulfoxide""]",140.0,49.0,78,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu(I)/1H-Benzotriazole/Potassium tert-butoxide/Dimethyl sulfoxide,20a9c6f1,e2e4e267,RCT: 106-43-4 + 120-72-9 | PRO: 167283-32-1 | RGT: 865-47-4 | CAT: 95-14-7 + 7681-65-4 | SOL: 67-68-5,"[""106-43-4"", ""120-72-9""]","[""167283-32-1""]","[""Potassium tert-butoxide (KOtBu)""]","[""Unresolved CAS 95-14-7"", ""Copper(I) iodide (CuI)""]","[""DMSO""]"
31-614-CAS-39899862,Ullmann,"[""Cuprous iodide""]","[""Cu(I)""]","[""N"", ""N-Dimethylethylenediamine""]","[""Potassium carbonate""]","[""BASE""]","[""Toluene""]",110.0,16.0,97,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu(I)/N+N-Dimethylethylenediamine/Potassium carbonate/Toluene,645658dc,645658dc,RCT: 66-77-3 + 15310-01-7 | PRO: 858466-01-0 | RGT: 584-08-7 | CAT: 110-70-3 + 7681-65-4 | SOL: 108-88-3,"[""66-77-3"", ""15310-01-7""]","[""858466-01-0""]","[""Potassium carbonate (K2CO3)""]","[""N,N'-Dimethylethylenediamine (DMEDA)"", ""Copper(I) iodide (CuI)""]","[""Toluene""]"
31-614-CAS-39946985,Ullmann,"[""Cuprous iodide""]","[""Cu(I)""]","[""none""]","[""Potassium carbonate""]","[""BASE""]","[""Dimethylformamide""]",110.0,17.0,72,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu(I)/none/Potassium carbonate/Dimethylformamide,efcb744b,efcb744b,RCT: 103-01-5 + 65845-74-1 | PRO: 2891917-81-8 | RGT: 584-08-7 | CAT: 7681-65-4 | SOL: 68-12-2,"[""103-01-5"", ""65845-74-1""]","[""2891917-81-8""]","[""Potassium carbonate (K2CO3)""]","[""Copper(I) iodide (CuI)""]","[""DMF""]"
31-614-CAS-39946989,Ullmann,"[""Cuprous iodide""]","[""Cu(I)""]","[""none""]","[""Potassium carbonate""]","[""BASE""]","[""Dimethylformamide""]",110.0,12.0,72,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu(I)/none/Potassium carbonate/Dimethylformamide,efcb744b,efcb744b,RCT: 142-08-5 + 1394922-25-8 | PRO: 3035962-02-5 | RGT: 584-08-7 | CAT: 7681-65-4 | SOL: 68-12-2,"[""142-08-5"", ""1394922-25-8""]","[""3035962-02-5""]","[""Potassium carbonate (K2CO3)""]","[""Copper(I) iodide (CuI)""]","[""DMF""]"
31-614-CAS-39947379,Ullmann,"[""Cuprous iodide""]","[""Cu(I)""]","[""none""]","[""Sodium hydroxide""]","[""BASE""]","[""Dimethyl sulfoxide""]",100.0,12.0,95,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu(I)/none/Sodium hydroxide/Dimethyl sulfoxide,3a563dbf,3a563dbf,RCT: 288-13-1 + 824-21-5 + 1142-19-4 | PRO: 2946607-83-4 | RGT: 1310-73-2 | CAT: 7681-65-4 | SOL: 67-68-5,"[""288-13-1"", ""824-21-5"", ""1142-19-4""]","[""2946607-83-4""]","[""Sodium hydroxide (NaOH)""]","[""Copper(I) iodide (CuI)""]","[""DMSO""]"
31-614-CAS-39965293,Ullmann,"[""Copper; 72 h""]","[""Cu""]","[""reflux""]","[""Sodium carbonate""]","[""BASE""]",[],,72.0,76,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu/reflux/Sodium carbonate/none,23c3507f,23c3507f,RCT: 110-91-8 + 299928-52-2 | PRO: 1531629-08-9 | RGT: 497-19-8 | CAT: 7440-50-8,"[""110-91-8"", ""299928-52-2""]","[""1531629-08-9""]","[""Sodium carbonate (Na2CO3)""]","[""Copper (Cu, zero-valent)""]",[]
31-614-CAS-40029694,Ullmann,"[""Cuprous iodide""]","[""Cu(I)""]","[""none""]","[""Potassium carbonate"", ""Water""]","[""BASE"", ""WORKUP""]","[""Dimethylformamide""]",150.0,6.0,72,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu(I)/none/Potassium carbonate+Water/Dimethylformamide,94648480,94648480,RCT: 1006-94-6 + 7073-94-1 + 68-12-2 + 104-94-9 | PRO: 3037384-27-0 | RGT: 584-08-7 + 7732-18-5 | CAT: 7681-65-4 | SOL: 68-12-2,"[""1006-94-6"", ""7073-94-1"", ""DMF"", ""104-94-9""]","[""3037384-27-0""]","[""Potassium carbonate (K2CO3)"", ""Water""]","[""Copper(I) iodide (CuI)""]","[""DMF""]"
31-614-CAS-40029717,Ullmann,"[""Cuprous iodide""]","[""Cu(I)""]","[""none""]","[""Potassium carbonate""]","[""BASE""]","[""Dimethylformamide""]",150.0,6.0,75,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu(I)/none/Potassium carbonate/Dimethylformamide,efcb744b,efcb744b,RCT: 626-55-1 + 67058-71-3 | PRO: 3048634-08-5 | RGT: 584-08-7 | CAT: 7681-65-4 | SOL: 68-12-2,"[""626-55-1"", ""67058-71-3""]","[""3048634-08-5""]","[""Potassium carbonate (K2CO3)""]","[""Copper(I) iodide (CuI)""]","[""DMF""]"
31-614-CAS-40034150,Ullmann,"[""Cuprous iodide""]","[""Cu(I)""]","[""none""]","[""Tripotassium phosphate""]","[""UNK""]","[""Isopropanol"", ""Ethylene glycol""]",90.0,24.0,80,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu(I)/none/Tripotassium phosphate/Ethylene glycol+Isopropanol,33a81fef,33a81fef,RCT: 91-21-4 + 591-50-4 | PRO: 3340-78-1 | RGT: 7778-53-2 | CAT: 7681-65-4 | SOL: 67-63-0 + 107-21-1,"[""91-21-4"", ""591-50-4""]","[""3340-78-1""]","[""Tripotassium phosphate (K3PO4)""]","[""Copper(I) iodide (CuI)""]","[""Isopropanol"", ""Unresolved CAS 107-21-1""]"
31-614-CAS-40034152,Ullmann,"[""Cuprous iodide""]","[""Cu(I)""]","[""none""]","[""Tripotassium phosphate""]","[""UNK""]","[""Isopropanol"", ""Ethylene glycol""]",90.0,27.0,80,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu(I)/none/Tripotassium phosphate/Ethylene glycol+Isopropanol,33a81fef,33a81fef,RCT: 420-04-2 + 924062-43-1 | PRO: 3065510-10-0 | RGT: 7778-53-2 | CAT: 7681-65-4 | SOL: 67-63-0 + 107-21-1,"[""420-04-2"", ""924062-43-1""]","[""3065510-10-0""]","[""Tripotassium phosphate (K3PO4)""]","[""Copper(I) iodide (CuI)""]","[""Isopropanol"", ""Unresolved CAS 107-21-1""]"
31-614-CAS-40034153,Ullmann,"[""Cuprous iodide""]","[""Cu(I)""]","[""none""]","[""Tripotassium phosphate""]","[""UNK""]","[""Isopropanol"", ""Ethylene glycol""]",90.0,1805.0,80,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu(I)/none/Tripotassium phosphate/Ethylene glycol+Isopropanol,33a81fef,33a81fef,RCT: 91-21-4 + 103962-05-6 | PRO: 1057280-60-0 | RGT: 7778-53-2 | CAT: 7681-65-4 | SOL: 67-63-0 + 107-21-1,"[""91-21-4"", ""103962-05-6""]","[""1057280-60-0""]","[""Tripotassium phosphate (K3PO4)""]","[""Copper(I) iodide (CuI)""]","[""Isopropanol"", ""Unresolved CAS 107-21-1""]"
31-614-CAS-40034154,Ullmann,"[""Cuprous iodide""]","[""Cu(I)""]","[""none""]","[""Tripotassium phosphate""]","[""UNK""]","[""Isopropanol"", ""Ethylene glycol""]",90.0,1805.0,80,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu(I)/none/Tripotassium phosphate/Ethylene glycol+Isopropanol,33a81fef,33a81fef,RCT: 91-21-4 + 696-62-8 | PRO: 78317-83-6 | RGT: 7778-53-2 | CAT: 7681-65-4 | SOL: 67-63-0 + 107-21-1,"[""91-21-4"", ""696-62-8""]","[""78317-83-6""]","[""Tripotassium phosphate (K3PO4)""]","[""Copper(I) iodide (CuI)""]","[""Isopropanol"", ""Unresolved CAS 107-21-1""]"
31-614-CAS-40034155,Ullmann,"[""Cuprous iodide""]","[""Cu(I)""]","[""none""]","[""Tripotassium phosphate""]","[""UNK""]","[""Isopropanol"", ""Ethylene glycol""]",90.0,24.0,80,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu(I)/none/Tripotassium phosphate/Ethylene glycol+Isopropanol,33a81fef,33a81fef,RCT: 110-91-8 + 4981-63-9 | PRO: 199109-88-1 | RGT: 7778-53-2 | CAT: 7681-65-4 | SOL: 67-63-0 + 107-21-1,"[""110-91-8"", ""4981-63-9""]","[""199109-88-1""]","[""Tripotassium phosphate (K3PO4)""]","[""Copper(I) iodide (CuI)""]","[""Isopropanol"", ""Unresolved CAS 107-21-1""]"
31-614-CAS-40034156,Ullmann,"[""Cuprous iodide""]","[""Cu(I)""]","[""none""]","[""Tripotassium phosphate""]","[""UNK""]","[""Isopropanol"", ""Ethylene glycol""]",90.0,24.0,80,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu(I)/none/Tripotassium phosphate/Ethylene glycol+Isopropanol,33a81fef,33a81fef,RCT: 120-72-9 + 15155-41-6 | PRO: 3030890-33-3 | RGT: 7778-53-2 | CAT: 7681-65-4 | SOL: 67-63-0 + 107-21-1,"[""120-72-9"", ""15155-41-6""]","[""3030890-33-3""]","[""Tripotassium phosphate (K3PO4)""]","[""Copper(I) iodide (CuI)""]","[""Isopropanol"", ""Unresolved CAS 107-21-1""]"
31-614-CAS-40034157,Ullmann,"[""Cuprous iodide""]","[""Cu(I)""]","[""none""]","[""Tripotassium phosphate""]","[""UNK""]","[""Isopropanol"", ""Ethylene glycol""]",90.0,24.0,80,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu(I)/none/Tripotassium phosphate/Ethylene glycol+Isopropanol,33a81fef,33a81fef,RCT: 108-26-9 + 139139-81-4 | PRO: 14580-15-5 | RGT: 7778-53-2 | CAT: 7681-65-4 | SOL: 67-63-0 + 107-21-1,"[""108-26-9"", ""139139-81-4""]","[""14580-15-5""]","[""Tripotassium phosphate (K3PO4)""]","[""Copper(I) iodide (CuI)""]","[""Isopropanol"", ""Unresolved CAS 107-21-1""]"
