record_index,RXN:VAR(1):CAS_Reaction_Number,RXN:RCT(1):CAS_RN,RXN:RCT(2):CAS_RN,RXN:RCT(3):CAS_RN,RXN:RCT(4):CAS_RN,RXN:PRO(1):CAS_RN,RXN:VAR(1):PRO(1):YIELD,RXN:VAR(1):REFERENCE(1):AUTHOR,RXN:VAR(1):REFERENCE(1):TITLE,RXN:VAR(1):REFERENCE(1):CITATION,RXN:VAR(1):NOTES,RXN:VAR(1):CAT(1):CAS_RN,RXN:VAR(1):CAT(2):CAS_RN,RXN:VAR(1):CAT(3):CAS_RN,RXN:VAR(1):CAT(4):CAS_RN,RXN:VAR(1):RGT(1):CAS_RN,RXN:VAR(1):RGT(2):CAS_RN,RXN:VAR(1):RGT(3):CAS_RN,RXN:VAR(1):RGT(4):CAS_RN,RXN:VAR(1):RGT(5):CAS_RN,RXN:VAR(1):RGT(6):CAS_RN,RXN:VAR(1):SOL(1):CAS_RN,RXN:VAR(1):SOL(2):CAS_RN,RXN:VAR(1):SOL(3):CAS_RN,RXN:VAR(1):SOL(4):CAS_RN,RXN:VAR(1):SOL(5):CAS_RN,yield_percent,year
125,31-614-CAS-36215342,2922795-62-6,,,,2923067-05-2,95,"Pu, Xiaoyun; Zhang, Yaqi; He, Xiaobo; Zhang, Xinhuan; Jiang, Long; Cao,",Synthesis of N-Substituted 4-Quinolones via Palladium-Catalyzed,"Advanced Synthesis & Catalysis (2023), 365(8), 1152-1157","stereoselective, reaction in a sealed microwave tube, %ee = 94",3375-31-3,406681-13-8,,,584-08-7,,,,,,108-88-3,,,,,95,2023.0
126,31-614-CAS-35422544,109-05-7,34259-99-9,,,2898500-48-4,95,"Reichert, Elaine C.; Feng, Kaibo; Sather, Aaron C.; Buchwald, Stephen L.",Pd-Catalyzed Amination of Base-Sensitive Five-Membered Heteroaryl Halides,"Journal of the American Chemical Society (2023), 145(6), 3323-3329","sealed Schlenk tube used, reactant also recovered",2489525-81-5,,,,18027-10-6,,,,,,109-99-9,,,,,95,2023.0
127,31-614-CAS-38970007,589-09-3,2092689-22-8,,,3026215-65-3,95,"Fan, Ruoqian; Wen, Haili; Chen, Zhen; Xia, Yuanzhi; Fang, Weiwei",A General Protocol toward Synthesis of 3-Methylindoles Using,"Organic Letters (2024), 26(1), 22-28","chemoselective, Schlenk tube used, catalyst stoichiometry dependent",2873417-75-3,,,,865-48-5,,,,,,123-91-1,,,,,95,2024.0
128,31-614-CAS-36749007,2516-40-7,57260-71-6,,,684217-29-6,95,"Oboh, Edmund; Teixeira, Jose E.; Schubert, Tanner J.; Maribona, Adriana",Structure-Activity relationships of replacements for the,"Bioorganic & Medicinal Chemistry (2023), 86117295",sealed flask used,51364-51-3,787618-22-8,,,865-48-5,,,,,,123-91-1,,,,,95,2023.0
129,31-614-CAS-40129303,3036635-21-6,,,,3047888-11-6,95,"Zhang, Peng; Guo, Chang-Qiu; Yao, Wang; Lu, Chuan-Jun; Li, Yingzi; Paton,",Pd-Catalyzed Asymmetric Amination of Enamines: Expedient Synthesis of,"ACS Catalysis (2023), 13(11), 7680-7690","stereoselective, Schlenk tube used, 93% ee",3375-31-3,76189-56-5,,,584-08-7,1310-73-2,,,,,108-88-3,123-91-1,,,,95,2023.0
130,31-614-CAS-41569301,122-39-4,1611-92-3,,,3040156-59-7,95,"Wu, Lin; Huang, Zhongyan; Miao, Jingsheng; Wang, Shuni; Li, Xinyao; Li,",Orienting Group Directed Cascade Borylation for Efficient One-Shot,"Angewandte Chemie, International Edition (2024), 63(18), e202402020",Buchwald-Hartwig reaction,51364-51-3,131274-22-1,,,865-48-5,,,,,,108-88-3,,,,,95,2024.0
131,31-614-CAS-41071031,692279-78-0,3050665-16-9,,,3080208-53-0,95,"Jin, Liang; Li, Ya; Mao, Yihui; He, Xiao-Bao; Lu, Zhan; Zhang, Qi; Shi,",Chiral dinitrogen ligand enabled asymmetric Pd/norbornene cooperative,"Nature Communications (2024), 15(1), 4908","molecular sieves used, 92% ee, Schlenk tube used",51364-51-3,2641594-79-6,,,498-66-8,10294-26-5,,,,,108-88-3,7732-18-5,,,,95,2024.0
132,31-614-CAS-37287062,104-92-7,135-67-1,,,58736-67-7,95,"Mao, Lijun; Li, Fengwu; Huang, Lingzi; Qu, Xin; Wang, Ke; Zhang, Yanjing;","Structurally Diversified Calix[3]phenoxazines: Synthesis, Solid-State","Organic Letters (2023), 25(30), 5597-5601",Schlenk tube used,51364-51-3,131274-22-1,,,865-48-5,,,,,,108-88-3,,,,,95,2023.0
133,31-614-CAS-40129199,3036635-71-6,,,,3047886-79-0,95,"Zhang, Peng; Guo, Chang-Qiu; Yao, Wang; Lu, Chuan-Jun; Li, Yingzi; Paton,",Pd-Catalyzed Asymmetric Amination of Enamines: Expedient Synthesis of,"ACS Catalysis (2023), 13(11), 7680-7690","stereoselective, Schlenk tube used, 92% ee, see experimental details,",3375-31-3,76189-56-5,,,534-17-8,,,,,,108-88-3,,,,,95,2023.0
134,31-614-CAS-38030213,110-91-8,612-62-4,,,34500-40-8,95,"Ouyang, Jia-Sheng; Zhang, Xinhuan; Pan, Bendu; Zou, Haobin; Chan, Albert",Solvent-Free Buchwald-Hartwig Amination of Heteroaryl Chlorides by,"Organic Letters (2023), 25(41), 7491-7496","green chemistry, no solvent, Buchwald-Hartwig amination, Schlenk tube",2585661-86-3,,,,865-48-5,,,,,,,,,,,95,2023.0
135,31-614-CAS-36837148,2148948-80-3,2941247-61-4,,,2941247-28-3,95,"Huang, Xiaobing; Yu, Jingxun; Luan, Xinjun",[3+2] Cycloaddition of Vinyl Cyclopropane and Hydroxylamines via,"Chinese Journal of Chemistry (2023), 41(16), 1937-1942","glove box used, sealed vial used, Lossen rearrangement",366-18-7,51364-51-3,,,534-17-8,,,,,,109-99-9,,,,,95,2023.0
136,31-614-CAS-38969954,95-50-1,1226021-50-6,,,3026215-44-8,95,"Fan, Ruoqian; Wen, Haili; Chen, Zhen; Xia, Yuanzhi; Fang, Weiwei",A General Protocol toward Synthesis of 3-Methylindoles Using,"Organic Letters (2024), 26(1), 22-28",Schlenk tube used,2873417-75-3,,,,865-48-5,,,,,,123-91-1,,,,,95,2024.0
137,31-614-CAS-38969999,589-09-3,2732-80-1,,,3026215-59-5,95,"Fan, Ruoqian; Wen, Haili; Chen, Zhen; Xia, Yuanzhi; Fang, Weiwei",A General Protocol toward Synthesis of 3-Methylindoles Using,"Organic Letters (2024), 26(1), 22-28","chemoselective, Schlenk tube used, catalyst stoichiometry dependent",2873417-75-3,,,,865-48-5,,,,,,123-91-1,,,,,95,2024.0
138,31-614-CAS-38470382,122-39-4,2657730-59-9,,,2657727-90-5,95,"Liao, Chuanxin; Chen, Bo; Xie, Qi; Li, Xianggao; Liu, Hongli; Wang,",A Breakthrough in Solution-Processed Ultra-Deep-Blue HLCT OLEDs: A Record,"Advanced Materials (Weinheim, Germany) (2023), 35(48), 2305310",,51364-51-3,,,,865-48-5,13716-12-6,,,,,108-88-3,,,,,95,2023.0
139,31-614-CAS-41070998,90-14-2,692279-78-0,,,2647910-90-3,95,"Jin, Liang; Li, Ya; Mao, Yihui; He, Xiao-Bao; Lu, Zhan; Zhang, Qi; Shi,",Chiral dinitrogen ligand enabled asymmetric Pd/norbornene cooperative,"Nature Communications (2024), 15(1), 4908","molecular sieves used, optimization study, 91% ee, Schlenk tube used,",51364-51-3,2641594-79-6,,,498-66-8,534-17-8,,,,,108-88-3,7732-18-5,,,,95,2024.0
140,31-614-CAS-39746713,110-91-8,3033074-14-2,,,3033074-53-9,95,"Fang, Wen; Luo, Zhi-Wen; Wang, Ye-Cheng; Zhou, Wei; Li, Lei; Chen, Yimin;",SN2 Reaction at the Amide Nitrogen Center Enables Hydrazide Synthesis,"Angewandte Chemie, International Edition (2024), 63(14), e202317570","Schlenk tube used, Buchwald-Hartwig amination",3375-31-3,564483-18-7,,,534-17-8,12125-02-9,,,,,123-91-1,7732-18-5,,,,95,2024.0
141,31-614-CAS-41650745,89-98-5,100-63-0,141-97-9,,96179-29-2,95,"AlMohamadi, Hamad; AlBajalan, Ahmed Rafiq; Menon, Soumya V.;","Palladium immobilized onto 1,4-bis(pyrid-4-yl)benzene grafted to","Research on Chemical Intermediates (2024), 50(8), 3619-3644","green chemistry, solid-supported catalyst (palladium immobilized onto",1317-61-9,7440-05-3,113682-56-7,,,,,,,,,,,,,95,2024.0
142,31-614-CAS-38030254,100-61-8,626-60-8,,,183135-51-5,95,"Ouyang, Jia-Sheng; Zhang, Xinhuan; Pan, Bendu; Zou, Haobin; Chan, Albert",Solvent-Free Buchwald-Hartwig Amination of Heteroaryl Chlorides by,"Organic Letters (2023), 25(41), 7491-7496","green chemistry, no solvent, Buchwald-Hartwig amination, Schlenk tube",2585661-86-3,,,,865-48-5,,,,,,,,,,,95,2023.0
143,31-614-CAS-40129217,3036636-11-7,,,,3047887-20-4,94,"Zhang, Peng; Guo, Chang-Qiu; Yao, Wang; Lu, Chuan-Jun; Li, Yingzi; Paton,",Pd-Catalyzed Asymmetric Amination of Enamines: Expedient Synthesis of,"ACS Catalysis (2023), 13(11), 7680-7690","stereoselective, Schlenk tube used, 92% ee, see experimental details,",3375-31-3,76189-56-5,,,534-17-8,,,,,,108-88-3,,,,,94,2023.0
144,31-614-CAS-40129201,3036635-80-7,,,,3047886-87-0,94,"Zhang, Peng; Guo, Chang-Qiu; Yao, Wang; Lu, Chuan-Jun; Li, Yingzi; Paton,",Pd-Catalyzed Asymmetric Amination of Enamines: Expedient Synthesis of,"ACS Catalysis (2023), 13(11), 7680-7690","stereoselective, Schlenk tube used, 91% ee, see experimental details,",3375-31-3,76189-56-5,,,534-17-8,,,,,,108-88-3,,,,,94,2023.0
145,31-614-CAS-35422514,132883-44-4,135773-25-0,,,2898499-28-8,94,"Reichert, Elaine C.; Feng, Kaibo; Sather, Aaron C.; Buchwald, Stephen L.",Pd-Catalyzed Amination of Base-Sensitive Five-Membered Heteroaryl Halides,"Journal of the American Chemical Society (2023), 145(6), 3323-3329","sealed Schlenk tube used, scalable",2489525-81-5,,,,18027-10-6,,,,,,123-91-1,,,,,94,2023.0
146,31-614-CAS-38558272,1895-39-2,349110-11-8,,,19357-29-0,94,"Hu, Chengxian; Wang, Lu; Wu, Yuanyuan; Zheng, Yonglong; Fu, Ying; Du,",Synthesis of N-substituted phthalimides via Pd-catalyzed [4+1],"Chemical Communications (Cambridge, United Kingdom) (2023), 59(100),",sealed tube used,3375-31-3,166330-10-5,,,584-08-7,,,,,,68-12-2,,,,,94,2023.0
147,31-614-CAS-35422512,20980-22-7,25676-75-9,,,2898499-19-7,94,"Reichert, Elaine C.; Feng, Kaibo; Sather, Aaron C.; Buchwald, Stephen L.",Pd-Catalyzed Amination of Base-Sensitive Five-Membered Heteroaryl Halides,"Journal of the American Chemical Society (2023), 145(6), 3323-3329","sealed Schlenk tube used, scalable",2489525-81-5,,,,18027-10-6,,,,,,109-99-9,,,,,94,2023.0
148,31-614-CAS-42726355,20980-22-7,25676-75-9,,,2898499-19-7,93,"Raguram, Elaine Reichert; Dahl, Jakob C.; Jensen, Klavs F.; Buchwald,",Kinetic Modeling Enables Understanding of Off-Cycle Processes in,"Journal of the American Chemical Society (2024), 146(48), 33035-33047","sealed tube used, alternative method gave lower yield",2489525-81-5,,,,18027-10-6,,,,,,109-99-9,,,,,93,2024.0
149,31-614-CAS-40641318,455-13-0,2088305-62-6,,,2109532-31-0,94,"Kitamoto, Yuichi; Oda, Kazuma; Kita, Hiroshi; Hattori, Tetsutaro; Oi,",Synthesis of Azadioxa-Planar Triphenylboranes Bridged by Aryl- and,"Journal of Organic Chemistry (2023), 88(9), 5852-5860",,52522-40-4,131274-22-1,,,865-48-5,,,,,,108-88-3,,,,,94,2023.0
150,31-614-CAS-41349176,201162-53-0,3012621-83-6,,,3049693-45-7,94,"Lu, Yan; Gu, Qi; Martin, Stephen F.",Structure-affinity relationships of stereoisomers of,"European Journal of Medicinal Chemistry (2023), 257115488",Buchwald-Hartwig coupling,51364-51-3,787618-22-8,,,865-48-5,,,,,,108-88-3,,,,,94,2023.0
151,31-614-CAS-38465864,108-86-1,174-78-7,,,2332930-53-5,94,"Martinelli, Matteo; Giorgiutti, Christophe; Fessard, Thomas; Lefebvre,",Introducing covalent warheads on spirocyclic sp2-sp3 fragments by innate,"Organic & Biomolecular Chemistry (2023), 21(46), 9230-9235",,51364-51-3,564483-18-7,,,534-17-8,,,,,,108-88-3,,,,,94,2023.0
152,31-614-CAS-41378274,57260-71-6,115464-89-6,,,3080488-14-5,94,"Drop, Marcin; Koczurkiewicz-Adamczyk, Paulina; Bento, Ophelie; Pietrus,",5-HT6 receptor neutral antagonists protect astrocytes: A lesson from,"European Journal of Medicinal Chemistry (2024), 275116615","microwave irradiation, Buchwald-Hartwig amination",51364-51-3,250285-32-6,,,4039-32-1,,,,,,109-99-9,,,,,94,2024.0
153,31-614-CAS-41335285,2721-59-7,109179-31-9,,,3060704-80-2,94,"Wang, Wei; Jiang, Mingwei; Li, Junwei; Wang, Fen; Li, Xiao-Xi; Zhao,",Intermolecular Buchwald-Hartwig Reactions for Enantioselective Synthesis,"Journal of the American Chemical Society (2024), 146(24), 16567-16580","stereoselective, %ee = 91",52522-40-4,849924-41-0,,,7778-53-2,,,,,,1634-04-4,,,,,94,2024.0
154,31-614-CAS-38969996,589-09-3,174913-08-7,,,3026215-57-3,94,"Fan, Ruoqian; Wen, Haili; Chen, Zhen; Xia, Yuanzhi; Fang, Weiwei",A General Protocol toward Synthesis of 3-Methylindoles Using,"Organic Letters (2024), 26(1), 22-28","chemoselective, Schlenk tube used, catalyst stoichiometry dependent",2873417-75-3,,,,865-48-5,,,,,,123-91-1,,,,,94,2024.0
155,31-614-CAS-36748969,57260-71-6,1160573-06-7,,,3054131-84-6,94,"Oboh, Edmund; Teixeira, Jose E.; Schubert, Tanner J.; Maribona, Adriana",Structure-Activity relationships of replacements for the,"Bioorganic & Medicinal Chemistry (2023), 86117295",sealed flask used,51364-51-3,787618-22-8,,,865-48-5,,,,,,123-91-1,,,,,94,2023.0
156,31-614-CAS-43547763,626-39-1,89590-57-8,,,3037273-73-4,94,"Zender, Elena; Valverde, Danillo; Neubaur, Robert; Karger, Sebastian;",Borylation and rearrangement reactions of azasilaanthracenes to afford,"Dalton Transactions (2024), 53(22), 9294-9300","microwave irradiation, thermal",53199-31-8,,,,865-48-5,,,,,,108-88-3,,,,,94,2024.0
157,31-614-CAS-41071027,692279-78-0,3050665-14-7,,,3080208-51-8,94,"Jin, Liang; Li, Ya; Mao, Yihui; He, Xiao-Bao; Lu, Zhan; Zhang, Qi; Shi,",Chiral dinitrogen ligand enabled asymmetric Pd/norbornene cooperative,"Nature Communications (2024), 15(1), 4908","molecular sieves used, 90% ee, Schlenk tube used",51364-51-3,2641594-79-6,,,498-66-8,10294-26-5,,,,,108-88-3,7732-18-5,,,,94,2024.0
158,31-614-CAS-43769878,86-74-8,171408-76-7,,,2095193-80-7,94,"Zhang, Ming; Ma, Xiao-Cui; Zhang, Heng-Yuan; Yang, Gang; Lin, Hui; Zheng,",Utilizing spiro-type backbone donor to develop exciplex emitter and,"IEEE Transactions on Electron Devices (2024), 71(11), 6864-6870",,3375-31-3,,,,865-48-5,13716-12-6,,,,,108-88-3,,,,,94,2024.0
159,31-614-CAS-40129193,3036635-65-8,,,,3047886-73-4,94,"Zhang, Peng; Guo, Chang-Qiu; Yao, Wang; Lu, Chuan-Jun; Li, Yingzi; Paton,",Pd-Catalyzed Asymmetric Amination of Enamines: Expedient Synthesis of,"ACS Catalysis (2023), 13(11), 7680-7690","stereoselective, Schlenk tube used, 95% ee, see experimental details,",3375-31-3,76189-56-5,,,534-17-8,,,,,,108-88-3,,,,,94,2023.0
160,31-614-CAS-39355756,100-61-8,2649378-98-1,,,2649379-01-9,94,"Grimm, Jonathan B.; Tkachuk, Ariana N.; Patel, Ronak; Hennigan, S.",Optimized Red-Absorbing Dyes for Imaging and Sensing,"Journal of the American Chemical Society (2023), 145(42), 23000-23013",reaction in a sealed vial,51364-51-3,564483-18-7,,,534-17-8,,,,,,123-91-1,,,,,94,2023.0
161,31-614-CAS-41335312,59-31-4,154650-16-5,,,3060705-09-8,94,"Wang, Wei; Jiang, Mingwei; Li, Junwei; Wang, Fen; Li, Xiao-Xi; Zhao,",Intermolecular Buchwald-Hartwig Reactions for Enantioselective Synthesis,"Journal of the American Chemical Society (2024), 146(24), 16567-16580","stereoselective, %ee = 90",52522-40-4,849924-41-0,,,7778-53-2,,,,,,1634-04-4,,,,,94,2024.0
162,31-614-CAS-36215339,2922795-52-4,,,,2640665-00-3,94,"Pu, Xiaoyun; Zhang, Yaqi; He, Xiaobo; Zhang, Xinhuan; Jiang, Long; Cao,",Synthesis of N-Substituted 4-Quinolones via Palladium-Catalyzed,"Advanced Synthesis & Catalysis (2023), 365(8), 1152-1157","stereoselective, reaction in a sealed microwave tube, %ee = 92",3375-31-3,406681-13-8,,,584-08-7,,,,,,108-88-3,,,,,94,2023.0
163,31-614-CAS-41071017,692279-78-0,3050665-04-5,,,3080208-40-5,94,"Jin, Liang; Li, Ya; Mao, Yihui; He, Xiao-Bao; Lu, Zhan; Zhang, Qi; Shi,",Chiral dinitrogen ligand enabled asymmetric Pd/norbornene cooperative,"Nature Communications (2024), 15(1), 4908","molecular sieves used, 93% ee, Schlenk tube used",51364-51-3,2641594-79-6,,,498-66-8,10294-26-5,,,,,107-06-2,7732-18-5,,,,94,2024.0
164,31-614-CAS-39194502,1914543-70-6,3028468-01-8,,,3033295-10-9,94,"Wu, Chenggui; Liu, Ze-Shui; Shang, Yong; Liu, Chang; Deng, Shuang; Cheng,",Asymmetric Two-Component Alkenyl Catellani Reaction for the Construction,"Chinese Journal of Chemistry (2024), 42(7), 699-704","stereoselective (ee = 94%), thermal, Catellani reaction, sealed vial used",3375-31-3,5518-52-5,2248160-18-9,,584-08-7,,,,,,109-99-9,,,,,94,2024.0
165,31-614-CAS-41335314,68550-75-4,109179-31-9,,,3060705-05-4,94,"Wang, Wei; Jiang, Mingwei; Li, Junwei; Wang, Fen; Li, Xiao-Xi; Zhao,",Intermolecular Buchwald-Hartwig Reactions for Enantioselective Synthesis,"Journal of the American Chemical Society (2024), 146(24), 16567-16580","stereoselective, %ee = 91, rotamer mixture = 55:45",52522-40-4,849924-41-0,,,7778-53-2,,,,,,1634-04-4,,,,,94,2024.0
166,31-614-CAS-43376627,92-84-2,106-37-6,,,116153-35-6,94,"Mohd Jamel, Nor Shafiq; Skhirtladze, Levani; Hussein, Aqeel A.; Ma,",Microwave-Assisted Buchwald-Hartwig Double Amination: A Rapid and,"ACS Omega (2024), 9(51), 50446-50457","microwave irradiation (microwave irradiation (200W)), Buchwald-Hartwig",51364-51-3,564483-18-7,,,865-48-5,,,,,,108-88-3,,,,,94,2024.0
167,31-614-CAS-35203621,92-84-2,27060-75-9,,,2841676-27-3,94,"Gao, Mingxue; Tian, Yu; Li, Xiaoning; Gong, Yanxiang; Fang, Manman; Yang,","The Effect of Molecular Conformations and Simulated ""Self-Doping"" in","Angewandte Chemie, International Edition (2023), 62(5), e202214908",Schlenk tube used,3375-31-3,,,,865-47-4,13716-12-6,,,,,108-88-3,,,,,94,2023.0
168,31-614-CAS-40129181,3036635-41-0,,,,3047886-51-8,94,"Zhang, Peng; Guo, Chang-Qiu; Yao, Wang; Lu, Chuan-Jun; Li, Yingzi; Paton,",Pd-Catalyzed Asymmetric Amination of Enamines: Expedient Synthesis of,"ACS Catalysis (2023), 13(11), 7680-7690","stereoselective, Schlenk tube used, 95% ee, see experimental details,",3375-31-3,76189-56-5,,,534-17-8,,,,,,108-88-3,,,,,94,2023.0
169,31-614-CAS-36749003,698-25-9,57260-71-6,,,744219-43-0,94,"Oboh, Edmund; Teixeira, Jose E.; Schubert, Tanner J.; Maribona, Adriana",Structure-Activity relationships of replacements for the,"Bioorganic & Medicinal Chemistry (2023), 86117295",sealed flask used,51364-51-3,787618-22-8,,,865-48-5,,,,,,123-91-1,,,,,94,2023.0
170,31-614-CAS-41650768,100-63-0,141-97-9,587-04-2,,143699-04-1,94,"AlMohamadi, Hamad; AlBajalan, Ahmed Rafiq; Menon, Soumya V.;","Palladium immobilized onto 1,4-bis(pyrid-4-yl)benzene grafted to","Research on Chemical Intermediates (2024), 50(8), 3619-3644","green chemistry, solid-supported catalyst (palladium immobilized onto",1317-61-9,7440-05-3,113682-56-7,,,,,,,,,,,,,94,2024.0
171,31-614-CAS-38969944,95-50-1,589-09-3,,,112817-88-6,94,"Fan, Ruoqian; Wen, Haili; Chen, Zhen; Xia, Yuanzhi; Fang, Weiwei",A General Protocol toward Synthesis of 3-Methylindoles Using,"Organic Letters (2024), 26(1), 22-28","Schlenk tube used, optimization study, optimized on temperature, base,",2873417-75-3,,,,865-48-5,,,,,,123-91-1,,,,,94,2024.0
172,31-614-CAS-35422522,496-15-1,1622839-67-1,,,2898499-88-0,94,"Reichert, Elaine C.; Feng, Kaibo; Sather, Aaron C.; Buchwald, Stephen L.",Pd-Catalyzed Amination of Base-Sensitive Five-Membered Heteroaryl Halides,"Journal of the American Chemical Society (2023), 145(6), 3323-3329","sealed Schlenk tube used, thermal in stage 2",2489525-81-5,,,,18027-10-6,,,,,,109-99-9,,,,,94,2023.0
173,31-614-CAS-41071030,692279-78-0,3050665-21-6,,,3080208-58-5,94,"Jin, Liang; Li, Ya; Mao, Yihui; He, Xiao-Bao; Lu, Zhan; Zhang, Qi; Shi,",Chiral dinitrogen ligand enabled asymmetric Pd/norbornene cooperative,"Nature Communications (2024), 15(1), 4908","molecular sieves used, 90% ee, Schlenk tube used",51364-51-3,2641594-79-6,,,498-66-8,10294-26-5,,,,,108-88-3,7732-18-5,,,,94,2024.0
174,31-614-CAS-40185497,101-70-2,589-87-7,,,194416-45-0,94,"Stoerkler, Timothee; Ulrich, Gilles; Laurent, Adele D.; Jacquemin, Denis;",Interplay between dual-state and aggregation-induced emission with ESIPT,"Journal of Organic Chemistry (2023), 88(13), 9225-9236",literature preparation,3375-31-3,12150-46-8,,,865-48-5,,,,,,108-88-3,,,,,94,2023.0
175,31-614-CAS-40129200,3036635-84-1,,,,3047886-91-6,94,"Zhang, Peng; Guo, Chang-Qiu; Yao, Wang; Lu, Chuan-Jun; Li, Yingzi; Paton,",Pd-Catalyzed Asymmetric Amination of Enamines: Expedient Synthesis of,"ACS Catalysis (2023), 13(11), 7680-7690","stereoselective, Schlenk tube used, 92% ee, see experimental details,",3375-31-3,76189-56-5,,,534-17-8,,,,,,108-88-3,,,,,94,2023.0
176,31-614-CAS-36215325,2922795-53-5,,,,2640665-06-9,94,"Pu, Xiaoyun; Zhang, Yaqi; He, Xiaobo; Zhang, Xinhuan; Jiang, Long; Cao,",Synthesis of N-Substituted 4-Quinolones via Palladium-Catalyzed,"Advanced Synthesis & Catalysis (2023), 365(8), 1152-1157","stereoselective, reaction in a sealed microwave tube, %ee = 90",3375-31-3,406681-13-8,,,584-08-7,,,,,,108-88-3,,,,,94,2023.0
177,31-614-CAS-38969993,589-09-3,57310-39-1,,,2495113-87-4,93,"Fan, Ruoqian; Wen, Haili; Chen, Zhen; Xia, Yuanzhi; Fang, Weiwei",A General Protocol toward Synthesis of 3-Methylindoles Using,"Organic Letters (2024), 26(1), 22-28","chemoselective, Schlenk tube used, catalyst stoichiometry dependent",2873417-75-3,,,,865-48-5,,,,,,123-91-1,,,,,93,2024.0
178,31-614-CAS-41335303,109179-31-9,1011533-24-6,,,3060704-95-9,93,"Wang, Wei; Jiang, Mingwei; Li, Junwei; Wang, Fen; Li, Xiao-Xi; Zhao,",Intermolecular Buchwald-Hartwig Reactions for Enantioselective Synthesis,"Journal of the American Chemical Society (2024), 146(24), 16567-16580","stereoselective, %ee = 89",52522-40-4,849924-41-0,,,7778-53-2,,,,,,1634-04-4,,,,,93,2024.0
179,31-614-CAS-40129216,3036636-13-9,,,,3047887-24-8,93,"Zhang, Peng; Guo, Chang-Qiu; Yao, Wang; Lu, Chuan-Jun; Li, Yingzi; Paton,",Pd-Catalyzed Asymmetric Amination of Enamines: Expedient Synthesis of,"ACS Catalysis (2023), 13(11), 7680-7690","stereoselective, Schlenk tube used, 93% ee, see experimental details,",3375-31-3,76189-56-5,,,534-17-8,,,,,,108-88-3,,,,,93,2023.0
180,31-614-CAS-36015632,6267-02-3,31409-84-4,,,2883174-11-4,93,"Matulaitis, Tomas; dos Santos, Paloma L.; Tsuchiya, Youichi; Cordes,",Donor Influence on the Optoelectronic Properties of N-Substituted,"ChemistrySelect (2023), 8(9), e202300274",,3375-31-3,131274-22-1,,,865-48-5,,,,,,108-88-3,,,,,93,2023.0
181,31-614-CAS-39479217,110-91-8,1392193-38-2,,,3030693-12-7,93,"Mahadik, Suraj S.; Badani, Purav M.; Garud, Dinesh R.; Kamble, Rajesh M.","D-A Based 2,3-di(pyridin-2-yl)pyrido[2,3-b]pyrazine Amine derivatives as","ChemistrySelect (2023), 8(48), e202303026",Buchwald-Hartwig cross coupling,51364-51-3,,,,865-48-5,,,,,,108-88-3,,,,,93,2023.0
182,31-614-CAS-38558268,1895-39-2,333349-40-9,,,42473-87-0,93,"Hu, Chengxian; Wang, Lu; Wu, Yuanyuan; Zheng, Yonglong; Fu, Ying; Du,",Synthesis of N-substituted phthalimides via Pd-catalyzed [4+1],"Chemical Communications (Cambridge, United Kingdom) (2023), 59(100),",sealed tube used,3375-31-3,166330-10-5,,,584-08-7,,,,,,68-12-2,,,,,93,2023.0
183,31-614-CAS-36837152,2941247-61-4,2941247-66-9,,,2941247-34-1,93,"Huang, Xiaobing; Yu, Jingxun; Luan, Xinjun",[3+2] Cycloaddition of Vinyl Cyclopropane and Hydroxylamines via,"Chinese Journal of Chemistry (2023), 41(16), 1937-1942","glove box used, sealed vial used, Lossen rearrangement",366-18-7,51364-51-3,,,534-17-8,,,,,,109-99-9,,,,,93,2023.0
184,31-614-CAS-39479219,86-74-8,1392193-38-2,,,3030693-10-5,93,"Mahadik, Suraj S.; Badani, Purav M.; Garud, Dinesh R.; Kamble, Rajesh M.","D-A Based 2,3-di(pyridin-2-yl)pyrido[2,3-b]pyrazine Amine derivatives as","ChemistrySelect (2023), 8(48), e202303026",Buchwald-Hartwig cross coupling,51364-51-3,,,,865-48-5,,,,,,108-88-3,,,,,93,2023.0
185,31-614-CAS-38030228,110-91-8,1849-02-1,,,91642-99-8,93,"Ouyang, Jia-Sheng; Zhang, Xinhuan; Pan, Bendu; Zou, Haobin; Chan, Albert",Solvent-Free Buchwald-Hartwig Amination of Heteroaryl Chlorides by,"Organic Letters (2023), 25(41), 7491-7496","green chemistry, no solvent, Buchwald-Hartwig amination, Schlenk tube",2585661-86-3,,,,865-48-5,,,,,,,,,,,93,2023.0
186,31-614-CAS-40129222,3036636-09-3,,,,3047887-18-0,93,"Zhang, Peng; Guo, Chang-Qiu; Yao, Wang; Lu, Chuan-Jun; Li, Yingzi; Paton,",Pd-Catalyzed Asymmetric Amination of Enamines: Expedient Synthesis of,"ACS Catalysis (2023), 13(11), 7680-7690","stereoselective, Schlenk tube used, 94% ee, see experimental details,",3375-31-3,76189-56-5,,,534-17-8,,,,,,108-88-3,,,,,93,2023.0
187,31-614-CAS-41071039,692279-78-0,3050665-08-9,,,3080208-45-0,93,"Jin, Liang; Li, Ya; Mao, Yihui; He, Xiao-Bao; Lu, Zhan; Zhang, Qi; Shi,",Chiral dinitrogen ligand enabled asymmetric Pd/norbornene cooperative,"Nature Communications (2024), 15(1), 4908","molecular sieves used, 91% ee, Schlenk tube used",51364-51-3,2641594-79-6,,,498-66-8,10294-26-5,,,,,108-88-3,7732-18-5,,,,93,2024.0
